name,category,lat,lng
용자1,한식,36.63751269999999,127.4342666
고혼,기타,36.6385966,127.43591
진미가효 청주직영점,한식,36.6415427,127.4297662
칠성반점,중식,36.6339642,127.4239791
팔팔문어전복탕 청주본점,기타,36.6371183,127.4225369
항아리보쌈 비하점,기타,36.6332992,127.4245429
반지하 본점,기타,36.6261624,127.4250735
산청꿀갈비,한식,36.6345566,127.4235821
우림칼국수 복대비하점,기타,36.63889650000001,127.4240391
삼학도수산,일식,36.6298135,127.4251405
커피합니다,기타,36.6263237,127.4250929
스타벅스 청주비하DT점,양식,36.6384611,127.4222488
입이즐거운그만두 청주비하점,분식,36.6295928,127.4252017
맥도날드 청주비하DT점,패스트푸드,36.6386747,127.4221532
송어마을,일식,36.6267253,127.4170728
조리미숯불곱창알찜 가경점,한식,36.6286286,127.4251375
베이커리&까페더멜,양식,36.627842,127.4157224
인문아카이브 양림&후마니타스,기타,36.6281496,127.4154724
대명도리탕,한식,36.6491418,127.4564596
청주원산냉면,기타,36.6434501,127.4610067
뚝심,기타,36.6396843,127.4610906
장수삼계탕,한식,36.6491478,127.4590835
수라상,한식,36.6538058,127.4591646
그레이맨션,기타,36.644444,127.462126
전통꽃게장,기타,36.644408,127.4579398
당나귀풍천장어,한식,36.6491461,127.458379
육고집 봉명점,기타,36.649553,127.457901
원해물탕,기타,36.6471775,127.4616887
왕천파닭 봉명점,패스트푸드,36.6491364,127.4544551
다정,한식,36.6489082,127.4558154
탐라도니,기타,36.6502438,127.458037
롯데리아 청주봉명점,패스트푸드,36.6495552,127.4608538
삼미원,기타,36.6491389,127.4553012
투썸플레이스 청주산업단지점,양식,36.6449264,127.4359044
컴포즈커피 세중테크노밸리점,양식,36.6424832,127.4370226
이디야커피 청주직지스타점,양식,36.6405394,127.4400258
본도시락 청주복대점,기타,36.6405394,127.4400258
멜티드,기타,36.6431397,127.4349381
그래비티,기타,36.6425381,127.435884
정스푸드,한식,36.6424832,127.4370226
새참마실,기타,36.6406538,127.4404148
식탐,한식,36.6431725,127.4519081
GOLFZONPARK,한식,36.6425381,127.435884
마그레세라,기타,36.6431725,127.4519081
GFS삼립 청주공장식당,한식,36.6425012,127.4490016
놀러와플 청주점,양식,36.6406538,127.4404148
삼성웰스토리 심텍청주공장,한식,36.6410882,127.4465973
세중테크노밸리 구내식당,기타,36.6424832,127.4370226
생선구이전문점 정가네,기타,36.6463126,127.4773033
동해해물탕,기타,36.6467852,127.4776486
정가네칼국수,기타,36.6440205,127.4748547
청주고양이입양지원센터 애니멀공화국,기타,36.6449883,127.4765647
참치공방,일식,36.6483097,127.4756191
청주본가 운천본점,한식,36.6489691,127.4750642
공주칼국수,기타,36.65048540000001,127.4749286
느루밥집,한식,36.6474154,127.4750254
엘리펀트테라스,기타,36.6460712,127.4760743
들락날락,기타,36.6464144,127.4762866
돈우마을 청주점,기타,36.6520781,127.4749234
마음무늬 카페 운리단길점,양식,36.6454842,127.4759372
노리,기타,36.6456832,127.4768807
컴포트,기타,36.64570070000001,127.4759883
뿅카는생막창 청주본점,한식,36.6466909,127.4770685
편백촌,한식,36.5863201,127.4871593
청주본가누룽지삼계탕,한식,36.591189,127.4884248
카페루나,기타,36.5863201,127.4871593
도그투게더,기타,36.5849807,127.4860298
티숨,기타,36.5932745,127.4882296
쭈꾸미애전설,기타,36.5869715,127.4901532
팽오리농장 청주서원점,한식,36.5869715,127.4901532
바바스커피 직영점,기타,36.5896263,127.4890269
장암흑염소사냥,기타,36.5878664,127.4912783
청와푸드,기타,36.5889424,127.4915487
정있는집,한식,36.5875274,127.4898474
오가네해물손칼국수,기타,36.5935066,127.4872942
토속된장찌개,한식,36.6239598,127.3274786
우별당 오송점,기타,36.6203857,127.3217398
오마카세 오사이초밥 청주오송점,일식,36.6198313,127.3186221
연화낙지,기타,36.6254733,127.3250987
맛있는영자씨네 오송점,한식,36.6237584,127.3268125
카페피치,양식,36.6266853,127.3216158
토속김치찌개,한식,36.6244588,127.3276084
카페540,기타,36.6264988,127.3228242
명장갈비,한식,36.6295258,127.3331616
고메스퀘어 오송점,양식,36.6335938,127.3313382
마산리,한식,36.6211242,127.3180342
오송닭도리탕,한식,36.629467,127.3326121
진성해장국,한식,36.6226781,127.3205807
오송숯불닭갈비고구려,한식,36.62594929999999,127.3256997
마왕족발 청주오송점,기타,36.6307173,127.3307481
상춘고택,한식,36.6869003,127.4072911
벽촌,한식,36.6604896,127.3678523
통큰감자탕 옥산점,기타,36.663376,127.3752868
백송짜글짜글,한식,36.6643668,127.3783842
옥산민물매운탕,기타,36.6723074,127.3859846
표가네명품순두부 청주옥산점,기타,36.6620322,127.3770294
조선닭농장,한식,36.6887187,127.363852
오미짜글이쭈꾸미구이,기타,36.6586804,127.3683277
만복식당,한식,36.6658816,127.3725316
루트507,기타,36.663376,127.3752868
보국가든,한식,36.6786349,127.3287614
북극성,중식,36.66060230000001,127.3682274
던킨 옥산휴게소하행점,기타,36.6580299,127.3696722
대운분식,한식,36.6654872,127.374231
아구좋은날,기타,36.6658816,127.3725316
신토불이 교원대점,한식,36.6187457,127.3566014
예담한식뷔페,한식,36.6040057,127.3533232
